time,Elbe
1963-12-31,409.0
1964-01-31,353.0
1964-02-29,473.0
1964-03-31,379.0
1964-04-30,673.0
1964-05-31,486.0
1964-06-30,288.0
1964-07-31,221.0
1964-08-31,282.0
1964-09-30,277.0
1964-10-31,360.0
1964-11-30,522.0
1964-12-31,567.0
1965-01-31,637.0
1965-02-28,659.0
1965-03-31,1037.0
1965-04-30,1737.0
1965-05-31,1903.0
1965-06-30,1915.0
1965-07-31,880.0
1965-08-31,576.0
1965-09-30,450.0
1965-10-31,439.0
1965-11-30,418.0
1965-12-31,1033.0
1966-01-31,1114.0
1966-02-28,1528.0
1966-03-31,1326.0
1966-04-30,1381.0
1966-05-31,929.0
1966-06-30,509.0
1966-07-31,1089.0
1966-08-31,936.0
1966-09-30,996.0
1966-10-31,616.0
1966-11-30,837.0
1966-12-31,1152.0
1967-01-31,1774.0
1967-02-28,1721.0
1967-03-31,1608.0
1967-04-30,1335.0
1967-05-31,970.0
1967-06-30,1054.0
1967-07-31,640.0
1967-08-31,444.0
1967-09-30,657.0
1967-10-31,587.0
1967-11-30,508.0
1967-12-31,722.0
1968-01-31,1459.0
1968-02-29,1347.0
1968-03-31,1265.0
1968-04-30,1200.0
1968-05-31,805.0
1968-06-30,661.0
1968-07-31,393.0
1968-08-31,343.0
1968-09-30,495.0
1968-10-31,796.0
1968-11-30,742.0
1968-12-31,627.0
1969-01-31,638.0
1969-02-28,849.0
1969-03-31,1095.0
1969-04-30,1496.0
1969-05-31,1382.0
1969-06-30,838.0
1969-07-31,618.0
1969-08-31,328.0
1969-09-30,397.0
1969-10-31,345.0
1969-11-30,400.0
1969-12-31,402.0
1970-01-31,363.0
1970-02-28,777.0
1970-03-31,1296.0
1970-04-30,2136.0
1970-05-31,1710.0
1970-06-30,888.0
1970-07-31,478.0
1970-08-31,578.0
1970-09-30,521.0
1970-10-31,537.0
1970-11-30,922.0
1970-12-31,1047.0
1971-01-31,679.0
1971-02-28,922.0
1971-03-31,883.0
1971-04-30,820.0
1971-05-31,592.0
1971-06-30,940.0
1971-07-31,729.0
1971-08-31,308.0
1971-09-30,310.0
1971-10-31,357.0
1971-11-30,379.0
1971-12-31,607.0
1972-01-31,658.0
1972-02-29,445.0
1972-03-31,439.0
1972-04-30,559.0
1972-05-31,606.0
1972-06-30,691.0
1972-07-31,408.0
1972-08-31,516.0
1972-09-30,405.0
1972-10-31,410.0
1972-11-30,483.0
1972-12-31,462.0
1973-01-31,346.0
1973-02-28,482.0
1973-03-31,616.0
1973-04-30,778.0
1973-05-31,758.0
1973-06-30,444.0
1973-07-31,309.0
1973-08-31,342.0
1973-09-30,247.0
1973-10-31,306.0
1973-11-30,370.0
1973-12-31,487.0
1974-01-31,719.0
1974-02-28,862.0
1974-03-31,711.0
1974-04-30,492.0
1974-05-31,461.0
1974-06-30,561.0
1974-07-31,642.0
1974-08-31,500.0
1974-09-30,371.0
1974-10-31,560.0
1974-11-30,1227.0
1974-12-31,1986.0
1975-01-31,2019.0
1975-02-28,1163.0
1975-03-31,816.0
1975-04-30,1084.0
1975-05-31,839.0
1975-06-30,557.0
1975-07-31,717.0
1975-08-31,376.0
1975-09-30,409.0
1975-10-31,389.0
1975-11-30,410.0
1975-12-31,498.0
1976-01-31,1304.0
1976-02-29,1250.0
1976-03-31,775.0
1976-04-30,687.0
1976-05-31,424.0
1976-06-30,373.0
1976-07-31,217.0
1976-08-31,219.0
1976-09-30,240.0
1976-10-31,310.0
1976-11-30,376.0
1976-12-31,507.0
1977-01-31,426.0
1977-02-28,913.0
1977-03-31,1070.0
1977-04-30,793.0
1977-05-31,663.0
1977-06-30,537.0
1977-07-31,444.0
1977-08-31,925.0
1977-09-30,1132.0
1977-10-31,636.0
1977-11-30,962.0
1977-12-31,867.0
1978-01-31,881.0
1978-02-28,886.0
1978-03-31,1050.0
1978-04-30,880.0
1978-05-31,1076.0
1978-06-30,617.0
1978-07-31,480.0
1978-08-31,603.0
1978-09-30,623.0
1978-10-31,881.0
1978-11-30,650.0
1978-12-31,693.0
1979-01-31,1006.0
1979-02-28,763.0
1979-03-31,1819.0
1979-04-30,1946.0
1979-05-31,1113.0
1979-06-30,683.0
1979-07-31,584.0
1979-08-31,473.0
1979-09-30,434.0
1979-10-31,617.0
1979-11-30,652.0
1979-12-31,1222.0
1980-01-31,937.0
1980-02-29,1609.0
1980-03-31,1081.0
1980-04-30,1296.0
1980-05-31,1550.0
1980-06-30,709.0
1980-07-31,1263.0
1980-08-31,1030.0
1980-09-30,581.0
1980-10-31,734.0
1980-11-30,708.0
1980-12-31,804.0
1981-01-31,1014.0
1981-02-28,1204.0
1981-03-31,1800.0
1981-04-30,1139.0
1981-05-31,822.0
1981-06-30,634.0
1981-07-31,705.0
1981-08-31,1058.0
1981-09-30,598.0
1981-10-31,888.0
1981-11-30,1499.0
1981-12-31,1705.0
1982-01-31,1870.0
1982-02-28,1411.0
1982-03-31,1148.0
1982-04-30,1086.0
1982-05-31,800.0
1982-06-30,488.0
1982-07-31,402.0
1982-08-31,343.0
1982-09-30,315.0
1982-10-31,353.0
1982-11-30,371.0
1982-12-31,429.0
1983-01-31,638.0
1983-02-28,835.0
1983-03-31,777.0
1983-04-30,1234.0
1983-05-31,856.0
1983-06-30,513.0
1983-07-31,307.0
1983-08-31,507.0
1983-09-30,339.0
1983-10-31,357.0
1983-11-30,351.0
1983-12-31,426.0
1984-01-31,554.0
1984-02-29,644.0
1984-03-31,568.0
1984-04-30,720.0
1984-05-31,592.0
1984-06-30,691.0
1984-07-31,457.0
1984-08-31,472.0
1984-09-30,452.0
1984-10-31,572.0
1984-11-30,459.0
1984-12-31,540.0
1985-01-31,429.0
1985-02-28,767.0
1985-03-31,692.0
1985-04-30,888.0
1985-05-31,677.0
1985-06-30,487.0
1985-07-31,405.0
1985-08-31,410.0
1985-09-30,394.0
1985-10-31,339.0
1985-11-30,371.0
1985-12-31,564.0
1986-01-31,852.0
1986-02-28,789.0
1986-03-31,760.0
1986-04-30,1159.0
1986-05-31,725.0
1986-06-30,1219.0
1986-07-31,436.0
1986-08-31,397.0
1986-09-30,468.0
1986-10-31,452.0
1986-11-30,540.0
1986-12-31,484.0
1987-01-31,1586.0
1987-02-28,1666.0
1987-03-31,1437.0
1987-04-30,2223.0
1987-05-31,1091.0
1987-06-30,960.0
1987-07-31,753.0
1987-08-31,680.0
1987-09-30,605.0
1987-10-31,552.0
1987-11-30,610.0
1987-12-31,869.0
1988-01-31,943.0
1988-02-29,980.0
1988-03-31,1567.0
1988-04-30,2278.0
1988-05-31,657.0
1988-06-30,526.0
1988-07-31,453.0
1988-08-31,363.0
1988-09-30,432.0
1988-10-31,425.0
1988-11-30,440.0
1988-12-31,1040.0
1989-01-31,1110.0
1989-02-28,634.0
1989-03-31,746.0
1989-04-30,572.0
1989-05-31,566.0
1989-06-30,345.0
1989-07-31,294.0
1989-08-31,279.0
1989-09-30,290.0
1989-10-31,367.0
1989-11-30,465.867004395
1989-12-31,622.484008789
1990-01-31,568.064025879
1990-02-28,566.570983887
1990-03-31,925.031982422
1990-04-30,494.899993896
1990-05-31,447.54800415
1990-06-30,385.733001709
1990-07-31,293.580993652
1990-08-31,234.48399353
1990-09-30,299.600006104
1990-10-31,311.063995361
1990-11-30,406.766998291
1990-12-31,520.354980469
1991-01-31,696.226013184
1991-02-28,427.963989258
1991-03-31,485.226013184
1991-04-30,457.532989502
1991-05-31,421.194000244
1991-06-30,341.433013916
1991-07-31,333.580993652
1991-08-31,383.128997803
1991-09-30,239.932998657
1991-10-31,250.257995605
1991-11-30,316.166992188
1991-12-31,377.096984863
1992-01-31,710.710021973
1992-02-29,619.793029785
1992-03-31,847.742004395
1992-04-30,1028.5670166
1992-05-31,537.193969727
1992-06-30,307.833007812
1992-07-31,341.709991455
1992-08-31,251.225997925
1992-09-30,263.700012207
1992-10-31,268.580993652
1992-11-30,369.967010498
1992-12-31,554.806030273
1993-01-31,580.612976074
1993-02-28,601.643005371
1993-03-31,700.903015137
1993-04-30,625.732971191
1993-05-31,379.226013184
1993-06-30,377.266998291
1993-07-31,385.709991455
1993-08-31,380.515991211
1993-09-30,392.733001709
1993-10-31,367.967987061
1993-11-30,445.433013916
1993-12-31,847.096984863
1994-01-31,1647.0970459
1994-02-28,1142.0
1994-03-31,1425.51599121
1994-04-30,1759.66699219
1994-05-31,875.838989258
1994-06-30,562.567016602
1994-07-31,352.386993408
1994-08-31,327.257995605
1994-09-30,478.132995605
1994-10-31,403.484008789
1994-11-30,450.833007812
1994-12-31,588.903015137
1995-01-31,845.645019531
1995-02-28,1783.35705566
1995-03-31,937.645019531
1995-04-30,1385.5670166
1995-05-31,963.452026367
1995-06-30,1249.76696777
1995-07-31,598.452026367
1995-08-31,359.677001953
1995-09-30,692.267028809
1995-10-31,590.773986816
1995-11-30,661.96697998
1995-12-31,652.968017578
1996-01-31,682.87097168
1996-02-29,493.895996094
1996-03-31,546.580993652
1996-04-30,865.599975586
1996-05-31,1028.03198242
1996-06-30,630.5
1996-07-31,743.064025879
1996-08-31,486.322998047
1996-09-30,489.0
1996-10-31,524.193969727
1996-11-30,657.200012207
1996-12-31,581.903015137
1997-01-31,488.805999756
1997-02-28,770.856994629
1997-03-31,1226.64501953
1997-04-30,917.232971191
1997-05-31,628.452026367
1997-06-30,389.600006104
1997-07-31,658.354980469
1997-08-31,523.12902832
1997-09-30,331.233001709
1997-10-31,363.161010742
1997-11-30,329.066986084
1997-12-31,477.484008789
1998-01-31,609.193969727
1998-02-28,491.393005371
1998-03-31,785.419006348
1998-04-30,589.400024414
1998-05-31,362.54800415
1998-06-30,318.132995605
1998-07-31,320.45199585
1998-08-31,284.580993652
1998-09-30,479.233001709
1998-10-31,575.677001953
1998-11-30,1562.80004883
